Step            Neutral         Anion0          Anion1         
-1.00           5.572           4.208           5.565          
-0.90           4.510           3.261           4.608          
-0.80           3.553           2.421           3.768          
-0.70           2.708           1.693           3.050          
-0.60           1.980           1.080           2.453          
-0.50           1.368           0.579           1.977          
-0.40           0.871           0.187           1.616          
-0.30           0.489           -0.103          1.364          
-0.20           0.217           -0.294          1.215          
-0.10           0.055           -0.395          1.162          
0.00            0.000           -0.407          1.201          
0.10            0.055           -0.335          1.330          
0.20            0.224           -0.179          1.548          
0.30            0.513           0.063           1.855          
0.40            0.931           0.391           2.256          
0.50            1.490           0.810           2.752          
0.60            2.199           1.322           3.347          
0.70            3.072           1.929           4.045          
0.80            4.119           2.632           4.844          
0.90            5.350           3.429           5.741          
1.00            6.773           4.316           6.726          
