Step            Neutral         Anion0          Anion1         
-1.00           1.423           0.810           2.062          
-0.90           1.137           0.571           1.831          
-0.80           0.889           0.365           1.637          
-0.70           0.676           0.189           1.479          
-0.60           0.496           0.040           1.354          
-0.50           0.346           -0.085          1.260          
-0.40           0.224           -0.187          1.195          
-0.30           0.128           -0.270          1.156          
-0.20           0.059           -0.334          1.144          
-0.10           0.015           -0.380          1.159          
0.00            0.000           -0.407          1.201          
0.10            0.017           -0.412          1.276          
0.20            0.074           -0.390          1.388          
0.30            0.181           -0.335          1.545          
0.40            0.352           -0.236          1.758          
0.50            0.608           -0.080          2.042          
0.60            0.976           0.152           2.418          
0.70            1.497           0.488           2.914          
0.80            2.234           0.974           3.577          
0.90            3.308           1.700           4.495          
1.00            4.968           2.844           5.841          
