Step            Neutral         Anion0          Anion1         
-1.00           4.619           3.789           6.379          
-0.90           3.757           2.925           5.838          
-0.80           2.975           2.145           5.272          
-0.70           2.282           1.461           4.429          
-0.60           1.681           0.879           3.643          
-0.50           1.173           0.404           2.962          
-0.40           0.757           0.035           2.388          
-0.30           0.431           -0.230          1.924          
-0.20           0.195           -0.393          1.568          
-0.10           0.050           -0.454          1.325          
0.00            0.000           -0.407          1.201          
0.10            0.054           -0.244          1.211          
0.20            0.223           0.049           1.370          
0.30            0.519           0.483           1.693          
0.40            0.954           1.066           2.191          
0.50            1.533           1.799           2.866          
0.60            2.257           2.673           3.710          
0.70            3.122           3.675           4.704          
0.80            4.115           4.788           5.827          
0.90            5.222           6.001           7.058          
1.00            6.428           7.313           8.390          
