Step            Neutral         Anion0          Anion1         
-1.00           6.026           4.836           5.836          
-0.90           4.893           3.911           5.044          
-0.80           3.856           3.054           4.297          
-0.70           2.930           2.280           3.610          
-0.60           2.128           1.600           3.000          
-0.50           1.458           1.020           2.477          
-0.40           0.920           0.543           2.047          
-0.30           0.510           0.168           1.710          
-0.20           0.224           -0.113          1.461          
-0.10           0.056           -0.303          1.293          
0.00            0.000           -0.407          1.201          
0.10            0.055           -0.426          1.184          
0.20            0.222           -0.357          1.242          
0.30            0.504           -0.192          1.384          
0.40            0.907           0.077           1.619          
0.50            1.433           0.455           1.955          
0.60            2.086           0.945           2.401          
0.70            2.866           1.542           2.955          
0.80            3.770           2.238           3.613          
0.90            4.789           3.018           4.364          
1.00            5.915           3.863           5.194          
