Step            Neutral         Anion0          Anion1         
-0.40           14.007          13.665          15.345         
-0.30           5.578           5.170           6.830          
-0.20           1.818           1.395           3.037          
-0.10           0.343           -0.074          1.550          
0.00            0.000           -0.407          1.201          
0.10            0.208           -0.194          1.400          
0.20            0.664           0.260           1.836          
0.30            1.212           0.795           2.312          
0.40            1.771           1.332           2.365          
0.50            2.305           1.835           2.273          
0.60            2.799           2.292           2.234          
0.70            3.250           2.705           2.242          
0.80            3.663           3.079           2.288          
0.90            4.042           3.422           2.336          
1.00            4.395           3.741           2.589          
