Step            Neutral         Anion0          Anion1         
-1.00           4.400           2.305           3.355          
-0.90           3.535           1.741           2.910          
-0.80           2.756           1.235           2.507          
-0.70           2.072           0.797           2.156          
-0.60           1.489           0.433           1.864          
-0.50           1.010           0.143           1.631          
-0.40           0.631           -0.076          1.457          
-0.30           0.347           -0.231          1.335          
-0.20           0.151           -0.333          1.257          
-0.10           0.037           -0.389          1.215          
0.00            0.000           -0.407          1.201          
0.10            0.037           -0.389          1.215          
0.20            0.151           -0.333          1.257          
0.30            0.347           -0.231          1.335          
0.40            0.631           -0.076          1.457          
0.50            1.010           0.143           1.631          
0.60            1.490           0.432           1.863          
0.70            2.072           0.796           2.156          
0.80            2.756           1.234           2.507          
0.90            3.536           1.740           2.909          
1.00            4.401           2.305           3.355          
