Step            Neutral         Anion0          Anion1         
-1.00           2.581           1.774           2.797          
-0.90           2.077           1.527           2.584          
-0.80           1.602           1.165           2.498          
-0.70           1.174           0.771           2.426          
-0.60           0.805           0.407           2.066          
-0.50           0.508           0.105           1.749          
-0.40           0.288           -0.122          1.510          
-0.30           0.141           -0.272          1.350          
-0.20           0.054           -0.357          1.257          
-0.10           0.012           -0.396          1.214          
0.00            0.000           -0.407          1.201          
0.10            0.012           -0.396          1.214          
0.20            0.054           -0.357          1.257          
0.30            0.141           -0.272          1.350          
0.40            0.288           -0.122          1.510          
0.50            0.508           0.105           1.749          
0.60            0.805           0.407           2.066          
0.70            1.173           0.770           2.426          
0.80            1.602           1.164           2.498          
0.90            2.076           1.527           2.584          
1.00            2.580           1.774           2.796          
