Step            Neutral         Anion0          Anion1         
-0.70           19.897          20.318          22.143         
-0.60           12.198          12.168          13.999         
-0.50           7.256           7.002           8.784          
-0.40           4.084           3.725           5.444          
-0.30           2.074           1.675           3.343          
-0.20           0.856           0.446           2.080          
-0.10           0.204           -0.204          1.410          
0.00            0.000           -0.407          1.201          
0.10            0.204           -0.206          1.409          
0.20            0.856           0.438           2.072          
0.30            2.074           1.645           3.314          
0.40            4.083           3.648           5.368          
0.50            7.256           6.832           8.616          
0.60            12.197          11.828          13.657         
0.70            19.895          19.671          21.491         
