Step            Neutral         Anion0          Anion1         
-1.00           2.310           0.275           1.986          
-0.90           1.734           0.091           1.800          
-0.80           1.258           -0.059          1.639          
-0.70           0.877           -0.177          1.507          
-0.60           0.582           -0.264          1.403          
-0.50           0.364           -0.325          1.326          
-0.40           0.210           -0.365          1.272          
-0.30           0.107           -0.388          1.237          
-0.20           0.044           -0.400          1.216          
-0.10           0.010           -0.406          1.205          
0.00            0.000           -0.407          1.201          
0.10            0.010           -0.406          1.205          
0.20            0.044           -0.400          1.216          
0.30            0.107           -0.388          1.237          
0.40            0.210           -0.365          1.272          
0.50            0.364           -0.325          1.326          
0.60            0.582           -0.264          1.403          
0.70            0.876           -0.177          1.507          
0.80            1.257           -0.059          1.639          
0.90            1.733           0.091           1.800          
1.00            2.309           0.275           1.986          
