Step            Neutral         Anion0          Anion1         
-1.00           3.161           2.371           3.717          
-0.90           2.560           1.829           3.262          
-0.80           2.011           1.336           2.833          
-0.70           1.522           0.900           2.444          
-0.60           1.101           0.529           2.103          
-0.50           0.751           0.224           1.817          
-0.40           0.472           -0.015          1.587          
-0.30           0.261           -0.193          1.414          
-0.20           0.114           -0.314          1.294          
-0.10           0.028           -0.384          1.224          
0.00            0.000           -0.407          1.201          
0.10            0.028           -0.384          1.224          
0.20            0.114           -0.314          1.294          
0.30            0.261           -0.193          1.414          
0.40            0.471           -0.015          1.587          
0.50            0.751           0.224           1.817          
0.60            1.101           0.529           2.103          
0.70            1.522           0.900           2.444          
0.80            2.010           1.335           2.833          
0.90            2.560           1.829           3.261          
1.00            3.161           2.371           3.717          
