Step            Neutral         Anion0          Anion1         
-0.70           31.041          30.992          32.393         
-0.60           18.579          18.356          19.818         
-0.50           10.660          10.348          11.853         
-0.40           5.703           5.347           6.884          
-0.30           2.707           2.330           3.891          
-0.20           1.024           0.636           2.216          
-0.10           0.220           -0.177          1.419          
0.00            0.000           -0.407          1.201          
0.10            0.165           -0.261          1.357          
0.20            0.577           0.120           1.741          
0.30            1.146           0.640           2.243          
0.40            1.807           1.231           2.771          
0.50            2.518           1.847           3.256          
0.60            3.250           2.457           3.677          
0.70            3.981           3.038           4.047          
0.80            4.699           3.580           4.379          
0.90            5.392           4.074           4.686          
1.00            6.055           4.520           4.991          
