Step            Neutral         Anion0          Anion1         
-1.00           12.730          10.231          7.348          
-0.90           10.369          8.513           5.769          
-0.80           8.059           6.780           4.976          
-0.70           6.003           5.200           4.362          
-0.60           4.278           3.823           3.967          
-0.50           2.877           2.654           3.404          
-0.40           1.782           1.687           2.639          
-0.30           0.972           0.912           2.033          
-0.20           0.422           0.314           1.599          
-0.10           0.104           -0.122          1.325          
0.00            0.000           -0.407          1.201          
0.10            0.104           -0.543          1.226          
0.20            0.420           -0.528          1.401          
0.30            0.957           -0.355          1.732          
0.40            1.715           -0.022          2.221          
0.50            2.689           0.468           2.864          
0.60            3.865           1.106           3.650          
0.70            5.222           1.880           4.564          
0.80            6.738           2.778           5.589          
0.90            8.393           3.789           6.431          
1.00            10.174          4.903           7.141          
