Step            Neutral         Anion0          Anion1         
-1.00           2.809           1.615           2.865          
-0.90           2.133           1.048           2.256          
-0.80           1.584           0.630           1.811          
-0.70           1.143           0.319           1.490          
-0.60           0.795           0.089           1.268          
-0.50           0.524           -0.079          1.126          
-0.40           0.319           -0.199          1.049          
-0.30           0.172           -0.284          1.027          
-0.20           0.073           -0.343          1.049          
-0.10           0.018           -0.383          1.108          
0.00            0.000           -0.407          1.201          
0.10            0.017           -0.417          1.327          
0.20            0.065           -0.411          1.486          
0.30            0.145           -0.382          1.683          
0.40            0.253           -0.323          1.929          
0.50            0.391           -0.220          2.230          
0.60            0.559           -0.063          2.602          
0.70            0.758           0.167           3.060          
0.80            0.990           0.488           3.618          
0.90            1.256           0.917           3.870          
1.00            1.559           1.477           4.092          
