Step            Neutral         Anion0          Anion1         
-0.90           14.302          113.515         114      
-0.80           12.747          72.760          73.202         
-0.70           11.040          45.991          47.200         
-0.60           9.230           28.446          30.085         
-0.50           7.363           16.961          18.796         
-0.40           5.487           9.451           11.400         
-0.30           3.662           4.581           6.563          
-0.20           1.976           1.551           3.480          
-0.10           0.615           -0.069          1.730          
0.00            0.000           -0.407          1.201          
0.10            1.046           0.708           2.094          
0.20            5.786           3.857           5.028          
0.30            18.884          10.298          11.306         
0.40            51.185          22.537          23.473         
0.50            126.931         45.391          46.339         
