Step            Neutral         Anion0          Anion1         
-0.50           96.090          72.554          71.392         
-0.40           40.558          35.692          34.523         
-0.30           15.642          16.128          15.604         
-0.20           4.994           6.093           6.353          
-0.10           0.938           1.344           2.323          
0.00            0.000           -0.407          1.201          
0.10            0.596           -0.391          1.741          
0.20            1.999           0.707           3.248          
0.30            3.872           2.490           4.688          
0.40            6.057           4.699           6.279          
0.50            8.461           7.134           8.048          
0.60            10.967          9.476           9.872          
0.70            13.395          11.522          11.815         
0.80            15.572          13.412          13.735         
0.90            17.602          15.146          15.591         
1.00            19.865          16.656          17.029         
