Step            Neutral         Anion0          Anion1         
-1.00           0.328           -0.348          1.305          
-0.90           0.235           -0.384          1.263          
-0.80           0.163           -0.407          1.234          
-0.70           0.109           -0.419          1.214          
-0.60           0.070           -0.424          1.203          
-0.50           0.042           -0.424          1.198          
-0.40           0.024           -0.421          1.196          
-0.30           0.012           -0.416          1.197          
-0.20           0.005           -0.411          1.199          
-0.10           0.001           -0.408          1.201          
0.00            0.000           -0.407          1.201          
0.10            0.001           -0.408          1.201          
0.20            0.005           -0.412          1.199          
0.30            0.012           -0.416          1.197          
0.40            0.024           -0.421          1.196          
0.50            0.042           -0.424          1.197          
0.60            0.070           -0.424          1.203          
0.70            0.109           -0.419          1.214          
0.80            0.164           -0.407          1.234          
0.90            0.235           -0.384          1.263          
1.00            0.328           -0.348          1.305          
