Step            Neutral         Anion0          Anion1         
-1.00           6.089           6.231           7.424          
-0.90           5.137           5.214           6.593          
-0.80           4.229           4.244           5.631          
-0.70           3.377           3.333           4.717          
-0.60           2.590           2.492           3.882          
-0.50           1.880           1.733           3.139          
-0.40           1.260           1.066           2.498          
-0.30           0.743           0.503           1.969          
-0.20           0.347           0.058           1.565          
-0.10           0.092           -0.253          1.302          
0.00            0.000           -0.407          1.201          
0.10            0.102           -0.371          1.296          
0.20            0.434           -0.102          1.630          
0.30            1.037           0.463           2.268          
0.40            1.963           1.404           3.296          
0.50            3.268           2.832           4.831          
0.60            5.018           4.890           7.030          
0.70            7.282           7.764           10.101         
0.80            10.135          11.701          13.791         
0.90            13.652          17.028          18.691         
1.00            17.908          24.196          25.378         
