Step            Neutral         Anion0          Anion1         
-1.00           6.106           4.445           8.008          
-0.90           4.857           3.352           6.974          
-0.80           3.767           2.407           5.918          
-0.70           2.830           1.604           4.916          
-0.60           2.041           0.937           4.021          
-0.50           1.392           0.401           3.246          
-0.40           0.877           -0.008          2.594          
-0.30           0.486           -0.293          2.064          
-0.20           0.214           -0.456          1.655          
-0.10           0.053           -0.495          1.367          
0.00            0.000           -0.407          1.201          
0.10            0.053           -0.185          1.165          
0.20            0.211           0.181           1.266          
0.30            0.477           0.706           1.519          
0.40            0.855           1.410           1.945          
0.50            1.349           2.316           2.568          
0.60            1.966           3.455           3.427          
0.70            2.710           4.863           4.550          
0.80            3.589           6.584           5.995          
0.90            4.608           8.672           7.809          
1.00            5.771           11.186          10.022         
