Step            Neutral         Anion0          Anion1         
-1.00           0.624           -0.071          1.335          
-0.90           0.474           -0.180          1.243          
-0.80           0.352           -0.263          1.177          
-0.70           0.254           -0.323          1.133          
-0.60           0.175           -0.364          1.110          
-0.50           0.115           -0.390          1.102          
-0.40           0.070           -0.405          1.106          
-0.30           0.038           -0.412          1.120          
-0.20           0.016           -0.414          1.141          
-0.10           0.004           -0.411          1.169          
0.00            0.000           -0.407          1.201          
0.10            0.004           -0.401          1.239          
0.20            0.015           -0.393          1.283          
0.30            0.035           -0.381          1.335          
0.40            0.064           -0.364          1.396          
0.50            0.104           -0.339          1.471          
0.60            0.156           -0.303          1.562          
0.70            0.223           -0.253          1.674          
0.80            0.306           -0.183          1.812          
0.90            0.408           -0.090          1.978          
1.00            0.532           0.030           2.178          
