Step            Neutral         Anion0          Anion1         
-1.00           3.017           5.975           6.843          
-0.90           2.345           4.874           5.885          
-0.80           1.763           3.800           5.015          
-0.70           1.274           2.792           4.225          
-0.60           0.876           1.899           3.546          
-0.50           0.567           1.154           3.045          
-0.40           0.338           0.565           2.719          
-0.30           0.177           0.125           2.127          
-0.20           0.075           -0.176          1.614          
-0.10           0.018           -0.350          1.304          
0.00            0.000           -0.407          1.201          
0.10            0.018           -0.350          1.304          
0.20            0.075           -0.176          1.614          
0.30            0.177           0.125           2.127          
0.40            0.338           0.565           2.719          
0.50            0.567           1.154           3.045          
0.60            0.876           1.899           3.546          
0.70            1.274           2.791           4.225          
0.80            1.763           3.799           5.015          
0.90            2.346           4.873           5.885          
1.00            3.018           5.974           6.842          
