Step            Neutral         Anion0          Anion1         
-1.00           3.790           4.768           4.655          
-0.90           3.195           3.904           4.312          
-0.80           2.610           3.088           3.872          
-0.70           2.043           2.333           3.366          
-0.60           1.519           1.655           2.854          
-0.50           1.059           1.068           2.384          
-0.40           0.676           0.578           1.980          
-0.30           0.378           0.188           1.657          
-0.20           0.166           -0.104          1.419          
-0.10           0.041           -0.301          1.268          
0.00            0.000           -0.407          1.201          
0.10            0.040           -0.426          1.218          
0.20            0.161           -0.361          1.315          
0.30            0.360           -0.213          1.494          
0.40            0.638           0.018           1.753          
0.50            0.994           0.333           2.094          
0.60            1.425           0.730           2.515          
0.70            1.928           1.209           2.912          
0.80            2.495           1.764           3.025          
0.90            3.117           2.390           3.170          
1.00            3.785           3.080           3.369          
