Step            Neutral         Anion0          Anion1         
-1.00           0.151           0.313           3.067          
-0.90           0.105           0.024           2.935          
-0.80           0.070           -0.190          2.499          
-0.70           0.045           -0.335          2.136          
-0.60           0.027           -0.422          1.846          
-0.50           0.015           -0.461          1.623          
-0.40           0.008           -0.467          1.456          
-0.30           0.003           -0.452          1.338          
-0.20           0.001           -0.431          1.260          
-0.10           0.000           -0.414          1.216          
0.00            0.000           -0.407          1.201          
0.10            0.000           -0.414          1.216          
0.20            0.001           -0.431          1.260          
0.30            0.003           -0.453          1.338          
0.40            0.008           -0.467          1.456          
0.50            0.015           -0.461          1.622          
0.60            0.027           -0.422          1.846          
0.70            0.045           -0.335          2.136          
0.80            0.070           -0.190          2.499          
0.90            0.105           0.024           2.935          
1.00            0.151           0.312           3.066          
