Step            Neutral         Anion0          Anion1         
-1.00           0.518           0.109           1.751          
-0.95           0.455           0.045           1.684          
-0.90           0.397           -0.015          1.621          
-0.85           0.344           -0.069          1.564          
-0.80           0.295           -0.119          1.511          
-0.75           0.251           -0.164          1.464          
-0.70           0.212           -0.204          1.422          
-0.65           0.177           -0.239          1.384          
-0.60           0.146           -0.270          1.351          
-0.55           0.118           -0.297          1.322          
-0.50           0.095           -0.321          1.297          
-0.45           0.074           -0.340          1.276          
-0.40           0.057           -0.356          1.258          
-0.35           0.042           -0.370          1.243          
-0.30           0.030           -0.381          1.231          
-0.25           0.021           -0.390          1.221          
-0.20           0.013           -0.396          1.214          
-0.15           0.007           -0.401          1.208          
-0.10           0.003           -0.404          1.204          
-0.05           0.001           -0.406          1.202          
0.00            0.000           -0.407          1.201          
0.05            0.001           -0.406          1.202          
0.10            0.003           -0.404          1.204          
0.15            0.007           -0.401          1.208          
0.20            0.013           -0.396          1.214          
0.25            0.021           -0.390          1.221          
0.30            0.030           -0.381          1.231          
0.35            0.042           -0.370          1.243          
0.40            0.057           -0.356          1.258          
0.45            0.074           -0.340          1.276          
0.50            0.095           -0.321          1.297          
0.55            0.118           -0.297          1.322          
0.60            0.146           -0.270          1.351          
0.65            0.177           -0.239          1.384          
0.70            0.212           -0.204          1.422          
0.75            0.251           -0.164          1.464          
0.80            0.295           -0.119          1.511          
0.85            0.344           -0.069          1.564          
0.90            0.397           -0.015          1.621          
0.95            0.455           0.045           1.684          
1.00            0.518           0.109           1.751          
