Step            Neutral         Anion0          Anion1         
-1.00           1.060           0.267           2.068          
-0.95           0.947           0.176           1.964          
-0.90           0.840           0.092           1.868          
-0.85           0.742           0.015           1.779          
-0.80           0.650           -0.056          1.697          
-0.75           0.565           -0.120          1.622          
-0.70           0.487           -0.177          1.554          
-0.65           0.416           -0.228          1.492          
-0.60           0.351           -0.273          1.437          
-0.55           0.293           -0.313          1.388          
-0.50           0.240           -0.346          1.345          
-0.45           0.194           -0.374          1.308          
-0.40           0.152           -0.397          1.277          
-0.35           0.116           -0.415          1.250          
-0.30           0.086           -0.428          1.229          
-0.25           0.060           -0.436          1.212          
-0.20           0.038           -0.439          1.201          
-0.15           0.022           -0.438          1.194          
-0.10           0.010           -0.433          1.191          
-0.05           0.002           -0.422          1.194          
0.00            0.000           -0.407          1.201          
0.05            0.002           -0.387          1.214          
0.10            0.010           -0.362          1.231          
0.15            0.022           -0.331          1.254          
0.20            0.040           -0.296          1.283          
0.25            0.064           -0.254          1.317          
0.30            0.094           -0.206          1.357          
0.35            0.129           -0.152          1.403          
0.40            0.170           -0.092          1.455          
0.45            0.218           -0.026          1.514          
0.50            0.272           0.047           1.580          
0.55            0.333           0.127           1.651          
0.60            0.400           0.213           1.729          
0.65            0.473           0.306           1.814          
0.70            0.552           0.405           1.905          
0.75            0.638           0.510           2.001          
0.80            0.730           0.621           2.103          
0.85            0.828           0.738           2.208          
0.90            0.931           0.861           2.315          
0.95            1.039           0.989           2.411          
1.00            1.153           1.121           2.446          
