Step            Neutral         Anion0          Anion1         
-0.90           19.824          3.763           5.082          
-0.85           16.288          3.226           4.563          
-0.80           13.326          2.741           4.095          
-0.75           10.846          2.305           3.676          
-0.70           8.770           1.913           3.300          
-0.65           7.036           1.562           2.966          
-0.60           5.591           1.248           2.669          
-0.55           4.392           0.970           2.406          
-0.50           3.400           0.724           2.176          
-0.45           2.584           0.508           1.976          
-0.40           1.920           0.319           1.803          
-0.35           1.385           0.156           1.655          
-0.30           0.960           0.017           1.531          
-0.25           0.631           -0.100          1.430          
-0.20           0.382           -0.197          1.348          
-0.15           0.204           -0.275          1.286          
-0.10           0.086           -0.335          1.242          
-0.05           0.020           -0.379          1.214          
0.00            0.000           -0.407          1.201          
0.05            0.019           -0.421          1.204          
0.10            0.071           -0.421          1.219          
0.15            0.154           -0.409          1.248          
0.20            0.262           -0.385          1.288          
0.25            0.393           -0.350          1.340          
0.30            0.545           -0.304          1.403          
0.35            0.714           -0.248          1.475          
0.40            0.899           -0.183          1.557          
0.45            1.099           -0.109          1.648          
0.50            1.311           -0.026          1.748          
0.55            1.536           0.065           1.856          
0.60            1.771           0.163           1.971          
0.65            2.017           0.269           2.094          
0.70            2.273           0.382           2.223          
0.75            2.537           0.502           2.359          
0.80            2.811           0.628           2.501          
0.85            3.094           0.761           2.649          
0.90            3.385           0.899           2.802          
0.95            3.685           1.044           2.959          
1.00            3.994           1.194           3.120          
