Step            Neutral         Anion0          Anion1         
-1.00           1.719           0.417           3.080          
-0.95           1.560           0.297           2.914          
-0.90           1.408           0.184           2.756          
-0.85           1.263           0.080           2.604          
-0.80           1.125           -0.016          2.460          
-0.75           0.994           -0.104          2.324          
-0.70           0.870           -0.183          2.195          
-0.65           0.754           -0.254          2.073          
-0.60           0.645           -0.316          1.960          
-0.55           0.544           -0.371          1.853          
-0.50           0.452           -0.416          1.755          
-0.45           0.367           -0.454          1.664          
-0.40           0.291           -0.483          1.581          
-0.35           0.224           -0.503          1.506          
-0.30           0.165           -0.515          1.438          
-0.25           0.115           -0.518          1.379          
-0.20           0.074           -0.513          1.327          
-0.15           0.042           -0.499          1.284          
-0.10           0.019           -0.477          1.248          
-0.05           0.005           -0.446          1.221          
0.00            0.000           -0.407          1.201          
0.05            0.005           -0.359          1.190          
0.10            0.019           -0.303          1.187          
0.15            0.042           -0.239          1.191          
0.20            0.074           -0.166          1.204          
0.25            0.116           -0.085          1.225          
0.30            0.167           0.005           1.254          
0.35            0.228           0.102           1.290          
0.40            0.297           0.208           1.335          
0.45            0.376           0.322           1.387          
0.50            0.464           0.443           1.448          
0.55            0.561           0.572           1.516          
0.60            0.666           0.709           1.592          
0.65            0.781           0.854           1.675          
0.70            0.904           1.005           1.766          
0.75            1.035           1.165           1.865          
0.80            1.175           1.331           1.970          
0.85            1.323           1.504           2.083          
0.90            1.479           1.684           2.204          
0.95            1.643           1.870           2.331          
1.00            1.815           2.063           2.464          
