Step            Neutral         Anion0          Anion1         
-1.00           3.373           1.640           2.120          
-0.95           2.994           1.397           1.918          
-0.90           2.644           1.172           1.736          
-0.85           2.321           0.964           1.574          
-0.80           2.024           0.773           1.431          
-0.75           1.752           0.597           1.306          
-0.70           1.503           0.437           1.199          
-0.65           1.277           0.292           1.109          
-0.60           1.073           0.161           1.035          
-0.55           0.889           0.045           0.977          
-0.50           0.725           -0.058          0.934          
-0.45           0.579           -0.147          0.906          
-0.40           0.452           -0.224          0.891          
-0.35           0.342           -0.288          0.890          
-0.30           0.248           -0.339          0.901          
-0.25           0.170           -0.379          0.924          
-0.20           0.108           -0.407          0.959          
-0.15           0.060           -0.424          1.005          
-0.10           0.026           -0.429          1.061          
-0.05           0.006           -0.424          1.127          
0.00            0.000           -0.407          1.201          
0.05            0.006           -0.380          1.285          
0.10            0.025           -0.342          1.376          
0.15            0.056           -0.294          1.476          
0.20            0.099           -0.235          1.582          
0.25            0.154           -0.166          1.696          
0.30            0.220           -0.087          1.816          
0.35            0.297           0.002           1.943          
0.40            0.384           0.102           2.076          
0.45            0.483           0.211           2.216          
0.50            0.592           0.331           2.363          
0.55            0.711           0.461           2.516          
0.60            0.841           0.602           2.677          
0.65            0.980           0.753           2.846          
0.70            1.130           0.915           3.022          
0.75            1.290           1.087           3.206          
0.80            1.460           1.270           3.399          
0.85            1.639           1.465           3.601          
0.90            1.828           1.670           3.811          
0.95            2.027           1.887           4.031          
1.00            2.236           2.115           4.260          
