Step            Neutral         Anion0          Anion1         
-1.00           10.453          15.316          16.485         
-0.95           9.732           13.914          15.117         
-0.90           8.980           12.552          13.781         
-0.85           8.206           11.235          12.487         
-0.80           7.424           9.973           11.244         
-0.75           6.643           8.769           10.060         
-0.70           5.875           7.629           8.940          
-0.65           5.130           6.558           7.888          
-0.60           4.416           5.558           6.909          
-0.55           3.740           4.632           6.004          
-0.50           3.111           3.783           5.176          
-0.45           2.531           3.012           4.426          
-0.40           2.006           2.319           3.756          
-0.35           1.539           1.706           3.166          
-0.30           1.132           1.172           2.654          
-0.25           0.786           0.716           2.221          
-0.20           0.503           0.339           1.867          
-0.15           0.283           0.039           1.589          
-0.10           0.126           -0.184          1.386          
-0.05           0.031           -0.333          1.258          
0.00            0.000           -0.407          1.201          
0.05            0.031           -0.409          1.216          
0.10            0.126           -0.339          1.300          
0.15            0.283           -0.199          1.453          
0.20            0.505           0.011           1.673          
0.25            0.792           0.291           1.959          
0.30            1.147           0.639           2.311          
0.35            1.571           1.057           2.729          
0.40            2.069           1.545           3.212          
0.45            2.644           2.102           3.761          
0.50            3.302           2.732           4.378          
0.55            4.049           3.434           5.064          
0.60            4.891           4.213           5.821          
0.65            5.838           5.071           6.651          
0.70            6.901           6.011           7.559          
0.75            8.091           7.038           8.549          
0.80            9.423           8.157           9.626          
0.85            10.912          9.375           10.797         
0.90            12.578          10.700          12.069         
0.95            14.441          12.139          13.451         
1.00            16.526          13.703          14.953         
