Step            Neutral         Anion0          Anion1         
-1.00           9.766           8.244           10.011         
-0.95           8.839           7.357           9.171          
-0.90           7.971           6.519           8.371          
-0.85           7.157           5.728           7.610          
-0.80           6.395           4.984           6.888          
-0.75           5.680           4.287           6.205          
-0.70           5.009           3.637           5.563          
-0.65           4.381           3.035           4.960          
-0.60           3.793           2.479           4.398          
-0.55           3.243           1.971           3.878          
-0.50           2.732           1.509           3.400          
-0.45           2.259           1.096           2.965          
-0.40           1.824           0.729           2.574          
-0.35           1.429           0.411           2.229          
-0.30           1.075           0.142           1.930          
-0.25           0.766           -0.078          1.680          
-0.20           0.503           -0.248          1.479          
-0.15           0.291           -0.367          1.328          
-0.10           0.133           -0.434          1.231          
-0.05           0.034           -0.448          1.188          
0.00            0.000           -0.407          1.201          
0.05            0.036           -0.310          1.274          
0.10            0.149           -0.156          1.407          
0.15            0.345           0.058           1.603          
0.20            0.632           0.333           1.864          
0.25            1.017           0.672           2.194          
0.30            1.506           1.077           2.594          
0.35            2.106           1.550           3.066          
0.40            2.824           2.093           3.613          
0.45            3.665           2.709           4.237          
0.50            4.631           3.399           4.941          
0.55            5.726           4.165           5.725          
0.60            6.948           5.008           6.591          
0.65            8.293           5.931           7.539          
0.70            9.755           6.933           8.572          
0.75            11.321          8.015           9.687          
0.80            12.976          9.175           10.885         
0.85            14.701          10.414          12.163         
0.90            16.468          11.728          13.519         
0.95            18.249          13.115          14.950         
1.00            20.008          14.571          16.450         
