Step            Neutral         Anion0          Anion1         
-1.00           0.963           0.326           1.943          
-0.95           0.876           0.260           1.876          
-0.90           0.793           0.196           1.811          
-0.85           0.713           0.134           1.750          
-0.80           0.636           0.076           1.690          
-0.75           0.563           0.020           1.634          
-0.70           0.494           -0.032          1.580          
-0.65           0.429           -0.082          1.530          
-0.60           0.367           -0.128          1.482          
-0.55           0.311           -0.172          1.438          
-0.50           0.258           -0.212          1.398          
-0.45           0.210           -0.248          1.361          
-0.40           0.167           -0.281          1.328          
-0.35           0.128           -0.310          1.298          
-0.30           0.094           -0.336          1.273          
-0.25           0.066           -0.357          1.251          
-0.20           0.042           -0.375          1.233          
-0.15           0.024           -0.389          1.219          
-0.10           0.011           -0.399          1.209          
-0.05           0.003           -0.405          1.203          
0.00            0.000           -0.407          1.201          
0.05            0.003           -0.405          1.203          
0.10            0.011           -0.399          1.209          
0.15            0.024           -0.389          1.219          
0.20            0.042           -0.375          1.233          
0.25            0.066           -0.357          1.251          
0.30            0.094           -0.336          1.273          
0.35            0.128           -0.310          1.298          
0.40            0.167           -0.281          1.328          
0.45            0.210           -0.248          1.361          
0.50            0.258           -0.212          1.398          
0.55            0.311           -0.172          1.438          
0.60            0.367           -0.128          1.482          
0.65            0.429           -0.082          1.530          
0.70            0.494           -0.032          1.580          
0.75            0.563           0.020           1.634          
0.80            0.636           0.076           1.690          
0.85            0.713           0.134           1.750          
0.90            0.793           0.196           1.811          
0.95            0.876           0.260           1.876          
1.00            0.963           0.326           1.943          
