Step            Neutral         Anion0          Anion1         
-1.00           1.573           0.448           2.029          
-0.95           1.432           0.368           1.956          
-0.90           1.296           0.292           1.885          
-0.85           1.165           0.220           1.816          
-0.80           1.040           0.151           1.751          
-0.75           0.920           0.085           1.688          
-0.70           0.807           0.024           1.628          
-0.65           0.700           -0.034          1.572          
-0.60           0.600           -0.088          1.519          
-0.55           0.507           -0.138          1.470          
-0.50           0.421           -0.184          1.425          
-0.45           0.343           -0.226          1.383          
-0.40           0.272           -0.263          1.346          
-0.35           0.209           -0.297          1.312          
-0.30           0.154           -0.326          1.283          
-0.25           0.107           -0.351          1.258          
-0.20           0.069           -0.371          1.238          
-0.15           0.039           -0.387          1.222          
-0.10           0.017           -0.398          1.211          
-0.05           0.004           -0.405          1.204          
0.00            0.000           -0.407          1.201          
0.05            0.004           -0.405          1.204          
0.10            0.017           -0.398          1.211          
0.15            0.039           -0.387          1.222          
0.20            0.069           -0.371          1.238          
0.25            0.107           -0.351          1.258          
0.30            0.154           -0.326          1.283          
0.35            0.209           -0.297          1.312          
0.40            0.272           -0.263          1.346          
0.45            0.343           -0.226          1.383          
0.50            0.421           -0.184          1.425          
0.55            0.507           -0.138          1.470          
0.60            0.600           -0.088          1.519          
0.65            0.700           -0.034          1.572          
0.70            0.807           0.024           1.628          
0.75            0.920           0.085           1.688          
0.80            1.040           0.151           1.751          
0.85            1.165           0.220           1.816          
0.90            1.296           0.292           1.885          
0.95            1.432           0.368           1.956          
1.00            1.573           0.448           2.029          
