Step            Neutral         Anion0          Anion1         
-1.00           2.364           1.902           3.922          
-0.95           2.118           1.672           3.682          
-0.90           1.887           1.453           3.451          
-0.85           1.671           1.247           3.232          
-0.80           1.470           1.051           3.022          
-0.75           1.283           0.868           2.824          
-0.70           1.110           0.696           2.635          
-0.65           0.951           0.537           2.458          
-0.60           0.805           0.389           2.292          
-0.55           0.673           0.253           2.137          
-0.50           0.552           0.129           1.993          
-0.45           0.445           0.017           1.860          
-0.40           0.349           -0.082          1.738          
-0.35           0.266           -0.169          1.629          
-0.30           0.194           -0.243          1.531          
-0.25           0.134           -0.304          1.444          
-0.20           0.085           -0.352          1.370          
-0.15           0.048           -0.386          1.309          
-0.10           0.021           -0.407          1.260          
-0.05           0.005           -0.414          1.224          
0.00            0.000           -0.407          1.201          
0.05            0.005           -0.385          1.192          
