Step            Neutral         Anion0          Anion1         
-1.00           2.345           1.579           3.204          
-0.95           2.168           1.431           3.085          
-0.90           1.994           1.285           2.959          
-0.85           1.823           1.140           2.829          
-0.80           1.655           0.998           2.694          
-0.75           1.491           0.858           2.558          
-0.70           1.332           0.721           2.420          
-0.65           1.178           0.588           2.284          
-0.60           1.029           0.459           2.151          
-0.55           0.887           0.336           2.022          
-0.50           0.753           0.218           1.897          
-0.45           0.626           0.108           1.780          
-0.40           0.507           0.005           1.669          
-0.35           0.399           -0.089          1.568          
-0.30           0.301           -0.173          1.476          
-0.25           0.215           -0.247          1.395          
-0.20           0.141           -0.308          1.326          
-0.15           0.081           -0.356          1.271          
-0.10           0.037           -0.390          1.231          
-0.05           0.010           -0.407          1.207          
0.00            0.000           -0.407          1.201          
0.05            0.010           -0.388          1.215          
0.10            0.042           -0.347          1.250          
0.15            0.096           -0.284          1.308          
0.20            0.176           -0.196          1.390          
0.25            0.282           -0.081          1.500          
0.30            0.418           0.063           1.639          
0.35            0.585           0.239           1.809          
0.40            0.785           0.448           2.013          
0.45            1.022           0.693           2.252          
0.50            1.296           0.977           2.530          
0.55            1.612           1.302           2.850          
0.60            1.972           1.671           3.212          
0.65            2.378           2.087           3.622          
0.70            2.833           2.552           4.081          
0.75            3.340           3.071           4.591          
0.80            3.902           3.645           5.157          
0.85            4.522           4.278           5.781          
0.90            5.203           4.973           6.466          
0.95            5.948           5.732           7.214          
1.00            6.760           6.560           8.030          
