Step            Neutral         Anion0          Anion1         
-1.00           0.081           -0.208          1.296          
-0.95           0.072           -0.227          1.287          
-0.90           0.064           -0.246          1.278          
-0.85           0.056           -0.263          1.270          
-0.80           0.049           -0.279          1.262          
-0.75           0.043           -0.295          1.255          
-0.70           0.037           -0.309          1.248          
-0.65           0.031           -0.323          1.242          
-0.60           0.026           -0.335          1.236          
-0.55           0.022           -0.347          1.231          
-0.50           0.018           -0.357          1.226          
-0.45           0.014           -0.367          1.221          
-0.40           0.011           -0.375          1.217          
-0.35           0.009           -0.383          1.213          
-0.30           0.006           -0.389          1.210          
-0.25           0.004           -0.395          1.208          
-0.20           0.003           -0.399          1.205          
-0.15           0.002           -0.403          1.204          
-0.10           0.001           -0.405          1.202          
-0.05           0.000           -0.407          1.202          
0.00            0.000           -0.407          1.201          
0.05            0.000           -0.407          1.202          
0.10            0.001           -0.405          1.202          
0.15            0.002           -0.403          1.204          
0.20            0.003           -0.399          1.205          
0.25            0.004           -0.395          1.208          
0.30            0.006           -0.389          1.210          
0.35            0.009           -0.383          1.213          
0.40            0.011           -0.375          1.217          
0.45            0.014           -0.367          1.221          
0.50            0.018           -0.357          1.226          
0.55            0.022           -0.347          1.231          
0.60            0.026           -0.335          1.236          
0.65            0.031           -0.323          1.242          
0.70            0.037           -0.309          1.248          
0.75            0.043           -0.295          1.255          
0.80            0.049           -0.279          1.262          
0.85            0.056           -0.263          1.270          
0.90            0.064           -0.246          1.278          
0.95            0.072           -0.227          1.287          
1.00            0.081           -0.208          1.296          
