Step            Neutral         Anion0          Anion1         
-1.00           0.162           -0.417          1.614          
-0.95           0.146           -0.424          1.567          
-0.90           0.131           -0.429          1.525          
-0.85           0.117           -0.433          1.485          
-0.80           0.104           -0.435          1.449          
-0.75           0.091           -0.436          1.416          
-0.70           0.080           -0.436          1.386          
-0.65           0.069           -0.434          1.358          
-0.60           0.059           -0.433          1.333          
-0.55           0.049           -0.430          1.311          
-0.50           0.041           -0.428          1.291          
-0.45           0.033           -0.425          1.273          
-0.40           0.026           -0.422          1.257          
-0.35           0.020           -0.419          1.244          
-0.30           0.015           -0.416          1.232          
-0.25           0.010           -0.413          1.223          
-0.20           0.007           -0.411          1.215          
-0.15           0.004           -0.409          1.209          
-0.10           0.002           -0.408          1.205          
-0.05           0.000           -0.407          1.202          
0.00            0.000           -0.407          1.201          
0.05            0.000           -0.407          1.202          
0.10            0.002           -0.408          1.205          
0.15            0.004           -0.409          1.209          
0.20            0.007           -0.411          1.215          
0.25            0.010           -0.413          1.223          
0.30            0.015           -0.416          1.232          
0.35            0.020           -0.419          1.244          
0.40            0.026           -0.422          1.257          
0.45            0.033           -0.425          1.273          
0.50            0.041           -0.428          1.291          
0.55            0.049           -0.430          1.311          
0.60            0.059           -0.433          1.333          
0.65            0.069           -0.434          1.358          
0.70            0.080           -0.436          1.386          
0.75            0.091           -0.436          1.416          
0.80            0.104           -0.435          1.449          
0.85            0.117           -0.433          1.485          
0.90            0.131           -0.429          1.525          
0.95            0.146           -0.424          1.567          
1.00            0.162           -0.417          1.614          
