Step            Neutral         Anion0          Anion1         
-1.00           1.331           7.939           8.963          
-0.95           1.196           6.847           7.905          
-0.90           1.070           5.876           6.966          
-0.85           0.950           5.012           6.134          
-0.80           0.838           4.245           5.398          
-0.75           0.734           3.566           4.749          
-0.70           0.636           2.964           4.177          
-0.65           0.546           2.433           3.675          
-0.60           0.464           1.966           3.237          
-0.55           0.388           1.556           2.856          
-0.50           0.319           1.198           2.526          
-0.45           0.257           0.887           2.244          
-0.40           0.203           0.618           2.003          
-0.35           0.154           0.388           1.801          
-0.30           0.113           0.193           1.634          
-0.25           0.078           0.029           1.498          
-0.20           0.050           -0.106          1.391          
-0.15           0.028           -0.215          1.310          
-0.10           0.012           -0.300          1.253          
-0.05           0.003           -0.363          1.217          
0.00            0.000           -0.407          1.201          
0.05            0.003           -0.433          1.203          
0.10            0.012           -0.442          1.221          
0.15            0.028           -0.436          1.254          
0.20            0.049           -0.417          1.301          
0.25            0.076           -0.385          1.360          
0.30            0.109           -0.341          1.431          
0.35            0.148           -0.286          1.512          
0.40            0.194           -0.222          1.602          
0.45            0.244           -0.148          1.702          
0.50            0.301           -0.065          1.809          
0.55            0.364           0.025           1.925          
0.60            0.432           0.123           2.047          
0.65            0.506           0.228           2.176          
0.70            0.586           0.340           2.311          
0.75            0.671           0.458           2.451          
0.80            0.763           0.582           2.596          
0.85            0.859           0.711           2.746          
0.90            0.962           0.847           2.900          
0.95            1.069           0.987           3.057          
1.00            1.182           1.133           3.216          
