Step            Neutral         Anion0          Anion1         
-1.00           5.121           4.776           6.533          
-0.95           4.550           4.194           5.935          
-0.90           4.021           3.656           5.382          
-0.85           3.533           3.161           4.872          
-0.80           3.085           2.706           4.404          
-0.75           2.674           2.289           3.975          
-0.70           2.298           1.909           3.584          
-0.65           1.957           1.564           3.229          
-0.60           1.648           1.251           2.907          
-0.55           1.369           0.970           2.618          
-0.50           1.120           0.719           2.360          
-0.45           0.898           0.496           2.130          
-0.40           0.704           0.300           1.929          
-0.35           0.535           0.130           1.754          
-0.30           0.390           -0.016          1.604          
-0.25           0.269           -0.137          1.479          
-0.20           0.172           -0.235          1.378          
-0.15           0.096           -0.311          1.301          
-0.10           0.043           -0.364          1.245          
-0.05           0.011           -0.396          1.212          
0.00            0.000           -0.407          1.201          
0.05            0.011           -0.396          1.212          
0.10            0.043           -0.364          1.245          
0.15            0.096           -0.311          1.301          
0.20            0.172           -0.235          1.378          
0.25            0.269           -0.137          1.479          
0.30            0.390           -0.016          1.604          
0.35            0.535           0.130           1.754          
0.40            0.704           0.300           1.929          
0.45            0.898           0.496           2.130          
0.50            1.120           0.719           2.360          
0.55            1.369           0.970           2.618          
0.60            1.648           1.251           2.907          
0.65            1.957           1.564           3.229          
0.70            2.298           1.909           3.584          
0.75            2.674           2.289           3.975          
0.80            3.085           2.706           4.404          
0.85            3.533           3.161           4.872          
0.90            4.021           3.656           5.382          
0.95            4.550           4.194           5.935          
1.00            5.121           4.776           6.533          
