Step            Neutral         Anion0          Anion1         
-1.00           4.760           1.552           3.133          
-0.95           4.211           1.377           2.974          
-0.90           3.706           1.208           2.819          
-0.85           3.243           1.045           2.669          
-0.80           2.820           0.889           2.524          
-0.75           2.434           0.740           2.384          
-0.70           2.083           0.598           2.250          
-0.65           1.765           0.464           2.122          
-0.60           1.479           0.339           2.000          
-0.55           1.222           0.222           1.886          
-0.50           0.993           0.114           1.780          
-0.45           0.791           0.016           1.682          
-0.40           0.615           -0.073          1.592          
-0.35           0.464           -0.152          1.510          
-0.30           0.335           -0.221          1.438          
-0.25           0.229           -0.279          1.375          
-0.20           0.144           -0.327          1.321          
-0.15           0.080           -0.363          1.277          
-0.10           0.035           -0.389          1.242          
-0.05           0.009           -0.404          1.217          
0.00            0.000           -0.407          1.201          
0.05            0.008           -0.399          1.196          
0.10            0.033           -0.381          1.199          
0.15            0.073           -0.351          1.212          
0.20            0.128           -0.310          1.234          
0.25            0.196           -0.259          1.265          
0.30            0.278           -0.197          1.304          
0.35            0.371           -0.125          1.351          
0.40            0.477           -0.043          1.406          
0.45            0.593           0.048           1.468          
0.50            0.719           0.149           1.537          
0.55            0.855           0.258           1.612          
0.60            0.999           0.376           1.693          
0.65            1.151           0.502           1.779          
0.70            1.310           0.635           1.869          
0.75            1.475           0.775           1.964          
0.80            1.647           0.922           2.063          
0.85            1.823           1.075           2.166          
0.90            2.004           1.234           2.271          
0.95            2.188           1.398           2.380          
1.00            2.376           1.568           2.491          
