Step            Neutral         Anion0          Anion1         
-1.00           6.609           6.496           9.025          
-0.95           5.859           5.465           8.070          
-0.90           5.170           4.543           7.223          
-0.85           4.538           3.721           6.476          
-0.80           3.959           2.990           5.819          
-0.75           3.429           2.343           5.247          
-0.70           2.947           1.775           4.752          
-0.65           2.508           1.278           4.327          
-0.60           2.111           0.848           3.894          
-0.55           1.754           0.481           3.409          
-0.50           1.434           0.171           2.981          
-0.45           1.150           -0.085          2.605          
-0.40           0.900           -0.290          2.280          
-0.35           0.683           -0.448          2.002          
-0.30           0.498           -0.560          1.769          
-0.25           0.343           -0.630          1.578          
-0.20           0.218           -0.660          1.428          
-0.15           0.122           -0.651          1.317          
-0.10           0.054           -0.605          1.243          
-0.05           0.013           -0.523          1.205          
0.00            0.000           -0.407          1.201          
0.05            0.013           -0.258          1.232          
0.10            0.053           -0.076          1.297          
0.15            0.119           0.139           1.394          
0.20            0.212           0.384           1.523          
0.25            0.331           0.661           1.686          
0.30            0.476           0.968           1.880          
0.35            0.647           1.306           2.107          
0.40            0.845           1.675           2.366          
0.45            1.071           2.075           2.658          
0.50            1.324           2.505           2.984          
0.55            1.604           2.968           3.344          
0.60            1.914           3.461           3.737          
0.65            2.252           3.987           4.166          
0.70            2.620           4.546           4.629          
0.75            3.018           5.138           5.124          
0.80            3.448           5.763           5.664          
0.85            3.909           6.423           6.229          
0.90            4.403           7.118           6.823          
0.95            4.932           7.849           7.443          
1.00            5.495           8.616           8.091          
